ASP_DEPARTAMENTORESIDENCIA;COD_DEPARTAMENTORESIDENCIA;ASP_CIUDADRESIDENCIA;COD_ASP_CIUDADRESIDENCIA;LONGITUD_CIUDADRESIDENCIA;LATITUD_CIUDADRESIDENCIA
AMAZONAS;91;EL ENCANTO;91263;-72,72400586;-2,008623063
AMAZONAS;91;EL ENCANTO;91263;-72,72400586;-2,008623063
AMAZONAS;91;EL ENCANTO;91263;-72,72400586;-2,008623063
AMAZONAS;91;EL ENCANTO;91263;-72,72400586;-2,008623063
AMAZONAS;91;EL ENCANTO;91263;-72,72400586;-2,008623063
AMAZONAS;91;EL ENCANTO;91263;-72,72400586;-2,008623063
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LETICIA;91001;-69,94067983;-4,21202317
AMAZONAS;91;LETICIA;91001;-69,94067983;-4,21202317
AMAZONAS;91;LETICIA;91001;-69,94067983;-4,21202317
PUTUMAYO;86;PUERTO LEGUÕZAMO;86573;-74,78366995;-0,184973168
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
AMAZONAS;91;LA CHORRERA;91405;-72,75882534;-1,242364146
